gen best mean std
0 92.239318 8.973097 29.651569
1 92.372379 70.383245 27.106109
2 93.727 86.055604 11.577842
3 93.727 90.693455 3.825791
4 93.727 91.847577 0.46476
5 93.727 91.96204 0.427172
6 93.727 92.146476 0.565184
7 93.727 92.604916 0.736538
8 93.727 93.138524 0.637756
9 93.727 93.089411 1.492972
10 93.727 93.721 0.059699
11 93.727 93.727 0.0
12 93.727 93.727 0.0
13 93.727 93.727 0.0
14 93.727 93.727 0.0
15 93.727 92.572127 4.700118
16 93.727 93.727 0.0
17 93.727 93.727 0.0
18 93.727 93.727 0.0
19 93.727 93.727 0.0
20 93.727 93.727 0.0
21 93.727 92.685311 4.998103
22 93.727 93.727 0.0
23 93.727 93.727 0.0
24 93.727 93.727 0.0
25 93.727 93.727 0.0
26 93.727 93.727 0.0
27 93.727 92.211656 8.808115
28 93.727 93.727 0.0
29 93.727 93.727 0.0
30 93.727 93.727 0.0
