gen best mean std
0 56.773463 0.481614 11.962134
1 74.773463 16.947752 15.438584
2 84.066602 29.804135 17.36976
3 84.957367 52.668833 16.404193
4 84.993424 58.167227 7.466395
5 84.993424 59.789015 8.086309
6 84.993424 59.48457 10.247992
7 84.993424 62.387071 10.507893
8 84.993424 67.953464 13.802384
9 84.993424 80.729708 8.243024
10 84.993424 84.993424 0.0
11 84.993424 84.993424 0.0
12 84.993424 84.993424 0.0
13 84.993424 84.993424 0.0
14 84.993424 84.993424 0.0
15 84.993424 84.993424 0.0
16 84.993424 84.993424 0.0
17 84.993424 84.993424 0.0
18 84.993424 84.993424 0.0
19 84.993424 84.993424 0.0
20 84.993424 84.993424 0.0
21 84.993424 84.993424 0.0
22 84.993424 84.993424 0.0
23 84.993424 84.993424 0.0
24 84.993424 84.993424 0.0
25 84.993424 84.993424 0.0
26 84.993424 84.993424 0.0
27 84.993424 84.993424 0.0
28 84.993424 84.993424 0.0
29 84.993424 84.993424 0.0
30 84.993424 84.993424 0.0
