gen best mean std
0 91.772379 13.452951 32.997903
1 92.531096 77.048086 22.263201
2 92.576119 88.673347 10.816018
3 92.927 91.158934 5.289032
4 92.927 91.760399 0.448342
5 92.927 91.7942 0.147282
6 92.927 91.732088 0.629836
7 93.127 91.383327 4.226764
8 93.127 91.818985 0.20581
9 93.127 91.365616 4.270456
10 93.127 91.446317 4.597812
11 93.727 92.157418 1.504817
12 93.727 92.955518 0.28127
13 93.727 92.993972 0.372521
14 93.727 92.812904 1.936281
15 93.727 92.858489 0.991656
16 93.727 93.099672 0.297586
17 93.727 92.839572 1.945902
18 93.727 92.657979 2.234625
19 93.727 92.999507 0.940371
20 93.835214 93.386569 0.576946
21 93.835214 93.4186 0.894066
22 93.835214 93.425263 1.002801
23 93.835214 93.42235 0.914246
24 93.835214 93.470688 0.846189
25 93.835214 92.850926 4.691618
26 93.835214 93.582302 0.641674
27 93.835214 93.380298 1.024235
28 93.835214 93.493687 0.805688
29 93.835214 93.340519 1.228729
30 93.835214 93.279273 1.412818
