gen best mean std
0 92.576119 14.723363 34.813732
1 92.576119 73.983791 24.696822
2 92.58272 80.465136 21.478991
3 92.58272 85.22643 17.845998
4 92.58272 88.563535 11.298594
5 92.58272 90.253616 9.482068
6 92.58272 91.744708 1.414943
7 92.58272 91.667918 1.444479
8 92.58272 90.154877 8.845025
9 92.58272 91.692206 1.423454
10 92.58272 91.523511 6.254174
11 92.58272 92.466161 0.650692
12 92.644173 92.580136 0.015814
13 92.644173 92.579538 0.024789
14 92.644173 92.4365 0.836517
15 92.644173 91.057278 8.75793
16 92.644173 92.442949 0.699497
17 92.644173 92.540156 0.344607
18 92.644173 92.396851 0.890237
19 92.644173 92.534663 0.351386
20 92.644173 92.336943 1.830655
21 92.644173 91.378078 6.032215
22 92.644173 92.39118 0.950513
23 92.644173 92.15487 1.985489
24 92.644173 92.443028 0.699385
25 92.644173 92.464365 0.66527
26 92.644173 92.332989 0.926783
27 92.644173 89.455381 12.108128
28 92.644173 92.56824 0.104139
29 92.644173 92.48934 0.593874
30 92.644173 92.406224 0.852056
