gen best mean std
0 56.773463 -0.032108 11.394639
1 56.773463 24.884645 18.682135
2 74.732799 50.762664 14.366247
3 74.732799 56.951782 2.836277
4 74.732799 56.953057 1.786931
5 74.732799 56.953057 1.786931
6 74.732799 56.953057 1.786931
7 74.732799 57.312243 3.063633
8 74.853671 56.514567 7.83255
9 74.853671 57.672639 3.91943
10 74.853671 57.672639 3.91943
11 74.853671 58.031826 4.58669
12 74.853671 60.00977 6.907518
13 74.853671 63.781231 8.764223
14 74.853671 70.784163 7.440892
15 85.838793 69.473154 11.349199gen best mean std
0 65.746171 0.733639 14.750667
1 86.193424 25.386517 20.069286
16 85.838793 73.945893 4.091588
2 86.193424 49.289446 17.483266
17 85.838793 75.177039 2.176321
3 86.193424 59.033109 8.320628
18 85.838793 75.399159 2.637527
4 86.193424 56.811249 13.500316
19 85.838793 76.398698 3.965633
5 86.193424 57.503614 10.501795
20 85.838793 78.801367 11.384951
6 86.193424 58.227247 11.839519
21 85.838793 85.838793 0.0
7 86.193424 63.309236 11.074708
22 86.99141 82.231131 14.030282
23 86.99141 86.046264 0.442821
