gen best mean std
0 57.16227 -1.693125 10.570661
1 57.732142 18.800392 18.212212
2 64.092245 47.818081 15.597711
3 64.092245 56.09164 6.326809
4 64.092245 56.479536 5.420529
5 66.752976 57.048446 4.237804
6 66.752976 57.586119 2.041121
7 66.752976 57.807912 5.90262
8 66.752976 58.890683 3.534322
9 94.023266 58.997541 8.067024
10 94.023266 58.470562 8.423932
11 94.023266 57.817721 9.592087
12 94.023266 60.629059 7.638425
13 94.023266 62.78826 7.36376
14 94.023266 62.344994 9.329078
15 94.023266 61.973718 8.59738
16 94.023266 62.23902 7.605158
17 94.023266 60.259783 12.490662
18 94.023266 65.033656 5.81928
19 94.023266 64.580033 6.15099
20 94.023266 61.167844 9.686988
21 94.023266 61.697749 7.145948
22 94.023266 61.434223 11.123683
23 94.023266 58.877457 14.138725
24 94.023266 61.539853 9.310198
25 94.023266 61.627124 11.596357
26 94.023266 62.077464 12.003485
27 94.023266 61.717508 12.201767
28 94.023266 61.808799 15.727126
29 94.023266 68.051317 17.621687
30 94.023266 77.30698 16.952727
