gen best mean std
0 56.773463 -0.110411 12.318372
1 74.783394 23.701524 20.807289
2 74.783394 48.859785 17.155464
3 85.815851 56.623789 7.772278
4 87.193424 57.946649 6.260793
5 87.193424 58.247887 5.071659
6 87.193424 60.588747 7.556831
7 87.193424 65.015152 11.631305
8 87.193424 71.225977 7.587456
9 87.193424 72.415914 6.553687
10 87.193424 72.219683 9.086867
11 87.193424 72.598325 6.861657
12 87.193424 71.694074 8.536732
13 87.193424 72.089248 9.769994
14 87.193424 74.199428 10.483005
15 87.193424 79.59104 11.506848
16 87.193424 85.859485 6.940838
17 87.193424 85.14163 6.715702
18 87.193424 84.03178 9.738082
19 87.193424 84.627411 8.933928
20 87.193424 84.214292 10.568342
21 87.193424 84.047005 9.906679
22 87.193424 86.053006 7.982926
23 87.193424 82.848628 12.616893
24 87.193424 84.430388 10.919331
25 87.193424 85.18501 7.90182
26 87.193424 85.13429 7.477112
27 87.193424 83.85539 9.191799
28 87.193424 83.464023 15.640306
29 87.193424 83.661187 11.59461
30 87.193424 83.445255 9.612299
