gen best mean std
0 91.772379 6.973522 27.463037
1 92.379644 73.5336 25.422653
2 92.494055 80.236673 19.757418
3 92.494055 80.920613 19.805209
4 92.494055 86.781918 14.539666
5 92.494055 91.378438 3.459722
6 92.494055 91.351128 4.337632
7 92.494055 91.779596 0.071806
8 92.494055 91.779596 0.071806
9 92.494055 87.451594 15.004944
10 92.494055 91.794029 0.123109
11 92.494055 91.779596 0.071806
12 92.494055 91.786812 0.101035
13 92.494055 91.794029 0.123109
14 92.494055 91.808463 0.157286
15 92.494055 78.33915 24.810787
16 92.494055 91.786812 0.101035
17 92.494055 91.786812 0.101035
18 92.494055 91.779596 0.071806
19 92.494055 91.779596 0.071806
20 92.494055 91.779596 0.071806
21 92.494055 91.378265 1.912841
22 92.494055 91.779596 0.071806
23 92.494055 91.779596 0.071806
24 92.494055 91.779596 0.071806
25 92.494055 91.779596 0.071806
26 92.494055 91.779596 0.071806
27 92.494055 86.767481 15.943589
28 92.494055 91.786812 0.101035
29 92.494055 91.786812 0.101035
30 92.494055 91.786812 0.101035
