gen best mean std
0 56.783394 -0.708623 11.822448
1 74.77941 26.421168 17.858532
2 74.862273 47.642817 16.37155
3 85.040905 56.805225 8.146849
4 85.040905 57.869262 4.53668
5 85.040905 56.257085 6.739453
6 85.040905 57.264762 5.339584
7 85.040905 57.338812 3.957442
8 85.040905 57.338812 3.957442
9 85.040905 56.982818 5.348865
10 85.040905 55.553996 9.611709
11 85.040905 57.147378 2.946717
12 85.040905 57.058266 3.088031
13 85.040905 57.519133 4.321634
14 85.040905 57.056138 2.812575
15 85.040905 57.056138 2.812575
16 85.040905 55.633178 7.250998
17 85.040905 57.056138 2.812575
18 85.040905 57.056197 2.812569
19 85.040905 55.622399 8.798613
20 85.040905 57.056138 2.812575
21 85.040905 57.056138 2.812575
22 85.040905 56.076751 8.218229
23 85.040905 57.507787 3.626881
24 85.040905 57.507807 3.848091
25 85.040905 57.880068 4.610784
26 85.040905 56.703084 5.650374
27 85.040905 57.146257 2.943287
28 85.040905 56.254297 6.719273
29 85.040905 57.240381 5.18941
30 85.040905 58.335175 6.325373
