gen best mean std
0 56.773463 1.978252 14.405278
1 84.19141 27.558829 19.210854
2 84.19141 45.57224 18.179022
3 84.19141 56.880267 7.218068
4 86.99141 58.291688 6.617129
5 86.99141 57.983354 7.872661
6 86.99141 58.081627 6.145681
7 86.99141 58.879416 7.917901
8 86.99141 63.920387 8.362906
9 86.99141 69.076158 11.829123
10 86.99141 73.690559 4.19133
11 86.99141 71.307048 8.819423
12 86.99141 72.509352 7.988007
13 86.99141 72.923864 6.036542
14 86.99141 72.650081 4.870188
15 86.99141 72.664858 7.689466
16 86.99141 71.485997 6.53524
17 86.99141 71.683696 6.282724
18 86.99141 73.103738 4.791686
19 86.99141 73.641455 3.852026
20 86.99141 72.789191 7.524142
21 88.554995 71.306387 11.110036
22 88.554995 69.865746 12.307533
23 88.554995 70.218547 11.315874
24 88.554995 72.582088 8.566135
25 88.618586 72.368617 8.891202
26 88.618586 70.966983 11.740261
27 88.618586 76.06338 9.424215
28 88.618586 77.207031 15.704404
29 88.618586 74.896446 20.606598
30 88.618586 81.383352 14.338142
