gen best mean std
0 94.023266 -1.430071 12.722229
1 94.023266 17.103224 19.302109
2 94.023266 38.153767 22.256066
3 94.023266 64.301306 14.414412
4 94.023266 77.709932 18.447072
5 94.023266 93.750563 2.71336
6 94.023266 94.023266 0.0
7 94.023266 93.557943 2.028298
8 94.023266 94.023266 0.0
9 94.023266 94.023266 0.0
10 94.023266 94.023266 0.0
11 94.023266 94.023266 0.0
12 94.023266 94.023266 0.0
13 94.023266 94.023266 0.0
14 94.023266 94.023266 0.0
15 94.023266 94.023266 0.0
16 94.023266 94.023266 0.0
17 94.023266 94.023266 0.0
18 94.023266 94.023266 0.0
19 94.023266 94.023266 0.0
20 94.023266 94.023266 0.0
21 94.023266 94.023266 0.0
22 94.023266 94.023266 0.0
23 94.023266 94.023266 0.0
24 94.023266 94.023266 0.0
25 94.023266 94.023266 0.0
26 94.023266 94.023266 0.0
27 94.023266 94.023266 0.0
28 94.023266 94.023266 0.0
29 94.023266 94.023266 0.0
30 94.023266 94.023266 0.0
