gen best mean std
0 66.16227 0.058123 14.216947
1 66.16227 23.015294 22.141597
2 75.054579 53.334276 13.649669
3 75.059829 58.531137 6.625045
4 75.091917 59.145858 8.919404
5 75.094638 64.687719 7.018228
6 75.094638 67.084709 8.262902
7 75.094638 69.527595 6.309359
8 75.094638 71.047128 8.294431
9 75.094638 71.048419 7.790345
10 75.094638 71.588851 6.712991
11 75.094638 71.58925 11.118446
12 75.094638 72.034216 5.857704
13 75.094638 72.840902 4.992148
14 75.094638 73.732351 3.935181
15 75.094638 72.043858 6.233452
16 75.094638 72.127577 5.965548
17 75.094638 71.774098 7.21367
18 75.094638 72.034489 7.226292
19 75.094638 73.297244 4.912165
20 75.094638 71.49329 7.209962
21 75.094638 73.675505 4.080097
22 75.094638 71.945423 7.9863
23 75.094638 71.607662 12.539378
24 75.094638 71.934224 7.922845
25 75.094638 73.019256 4.572041
26 75.094638 71.514203 7.398892
27 75.094638 73.201679 4.977686
28 75.094638 73.024478 4.375099
29 75.094638 73.1185 9.703182
30 75.094638 71.026646 9.584311
