gen best mean std
0 75.16227 0.920039 17.126969
1 75.16227 28.329517 24.462043
2 75.16227 54.899915 11.603391
3 75.16227 59.721291 6.231491
4 75.16227 62.767544 8.308682
5 75.16227 73.18227 5.632016
6 75.16227 75.16227 0.0
7 75.16227 73.19496 8.431103
8 75.16227 75.16227 0.0
9 75.16227 75.16227 0.0
10 75.16227 75.16227 0.0
11 75.16227 75.16227 0.0
12 75.16227 75.16227 0.0
13 75.200907 72.296511 10.574699
14 75.200907 75.162656 0.003844
15 75.200907 75.162656 0.003844
16 75.200907 75.162656 0.003844
17 75.200907 75.162656 0.003844
18 75.200907 75.162656 0.003844
19 75.200907 75.163042 0.005409
20 75.200907 73.099869 9.114384
21 75.200907 75.162656 0.003844
22 75.200907 75.162656 0.003844
23 75.200907 75.163042 0.005409
24 75.200907 75.162656 0.003844
25 75.200907 75.162656 0.003844
26 75.200907 73.991069 6.945397
27 75.200907 75.163042 0.005409
28 75.200907 75.163042 0.005409
29 75.200907 75.164201 0.008421
30 75.200907 75.166133 0.011591
