gen best mean std
0 65.750025 0.426697 14.244333
1 65.750025 24.667722 17.766018
2 84.593424 55.247125 13.274795
3 84.593424 57.885659 6.88335
4 84.593424 58.514352 6.190198
5 84.593424 59.412332 6.879046
6 84.593424 64.741441 9.059495
7 84.593424 69.776431 9.41065
8 84.593424 78.556048 4.792872
9 84.593424 83.761999 2.665116
10 84.593424 84.562258 0.02492
11 84.593424 84.592913 0.005084
12 84.593424 84.593424 0.0
13 84.593424 84.593424 0.0
14 84.593424 84.593424 0.0
15 84.593424 84.593424 0.0
16 84.593424 84.593424 0.0
17 84.593424 84.593424 0.0
18 84.593424 84.593424 0.0
19 84.593424 84.593424 0.0
20 84.593424 84.593424 0.0
21 84.593424 84.593424 0.0
22 84.593424 84.593424 0.0
23 84.593424 84.593424 0.0
24 84.593424 84.593424 0.0
25 84.593424 84.593424 0.0
26 84.593424 84.593424 0.0
27 84.593424 84.593424 0.0
28 84.593424 84.593424 0.0
29 84.593424 84.593424 0.0
30 84.593424 84.593424 0.0
