gen best mean std
0 56.959745 -0.835217 10.9529
1 87.011736 18.491836 17.303796
2 87.011736 37.417794 21.663254
3 87.011736 57.595102 10.204651
4 87.011736 57.656204 6.50638
5 87.038793 60.561046 9.864696
6 87.038793 70.48301 14.318329
7 87.038793 86.910016 1.218824
8 87.038793 87.038793 0.0
9 87.038793 87.038793 0.0
10 87.038793 87.038793 0.0
11 87.038793 87.038793 0.0
12 87.038793 87.038793 0.0
13 87.038793 87.038793 0.0
14 87.038793 87.038793 0.0
15 87.038793 87.038793 0.0
16 87.038793 87.038793 0.0
17 87.038793 87.038793 0.0
18 87.038793 87.038793 0.0
19 87.038793 87.038793 0.0
20 87.038793 87.038793 0.0
21 87.038793 87.038793 0.0
22 87.038793 87.038793 0.0
23 87.038793 87.038793 0.0
24 87.038793 87.038793 0.0
25 87.038793 87.038793 0.0
26 87.038793 87.038793 0.0
27 87.038793 87.038793 0.0
28 87.038793 87.038793 0.0
29 87.038793 87.038793 0.0
30 87.038793 87.038793 0.0
