gen best mean std
0 48.306268 -0.700931 11.446771
1 74.765589 20.051919 16.043773
2 85.99141 29.723487 18.547067
3 85.99141 37.992719 22.397767
4 85.99141 54.754636 17.26833
5 86.015851 57.506198 14.449929
6 86.015851 57.030557 19.77945
7 87.19141 62.038782 21.500219
8 87.19141 68.679212 20.988356
9 87.79141 79.088393 11.363607
10 87.79141 80.265052 11.892322
11 87.811736 81.568121 9.80655
12 87.811736 77.947605 15.579393
13 87.811736 81.864219 11.681304
14 87.811736 85.644494 7.324882
15 87.821114 86.139675 8.09139
16 87.821114 84.146317 11.488682
17 87.821114 82.866126 15.695312
18 87.821114 85.973812 5.988102
19 87.821114 83.617752 13.305435
20 87.821114 85.982121 9.18352
21 87.821114 83.988068 12.48092
22 87.821114 85.684336 8.599544
23 87.821114 84.854816 10.952127
24 87.821114 84.182743 10.597462
25 87.957367 85.16296 7.929176
26 87.957367 85.378304 9.413367
27 87.957367 81.689111 17.81838
28 87.957367 83.55724 13.859299
29 87.957367 86.545552 7.476002
30 87.957367 86.519202 5.420239
