gen best mean std
0 56.773463 -0.063373 11.343561
1 87.19141 26.500301 19.072157
2 87.193424 52.379623 17.26405
3 87.193424 61.380262 10.181767
4 87.193424 70.842287 14.859594
5 87.213791 83.669551 7.662479
6 87.213791 86.93509 1.744004
7 87.213791 87.194035 0.003474
8 87.213791 87.194239 0.003991
9 87.213791 87.194442 0.004439
10 87.213791 87.19485 0.005197
11 87.213791 87.194646 0.004837
12 87.213791 87.195461 0.00611
13 87.213791 87.19872 0.008934
14 87.213791 87.211144 0.00685
15 87.213791 87.213791 0.0
16 87.213791 87.213791 0.0
17 87.213791 87.213791 0.0
18 87.213791 87.213791 0.0
19 87.213791 87.213791 0.0
20 87.213791 87.213791 0.0
21 87.213791 87.213791 0.0
22 87.213791 87.213791 0.0
23 87.213791 87.213791 0.0
24 87.213791 87.213791 0.0
25 87.213791 87.213791 0.0
26 87.213791 87.213791 0.0
27 87.213791 87.213791 0.0
28 87.213791 87.213791 0.0
29 87.213791 87.213791 0.0
30 87.213791 87.213791 0.0
