gen best mean std
0 57.732142 -3.091575 8.313032
1 57.732142 5.249871 15.016892
2 66.601837 26.548344 21.02996
3 75.289573 52.20842 13.502486
4 75.289573 55.635892 10.25355
5 75.289573 56.991739 7.484347
6 75.289573 56.823684 7.164378
7 75.289573 56.768845 7.935073
8 75.289573 57.697999 2.007877
9 75.289573 57.688426 4.502504
10 75.289573 58.939796 3.997999
11 75.289573 58.294684 9.115306
12 75.732142 60.224805 6.39958
13 75.732142 60.456248 6.539848
14 75.732142 60.380037 7.327797
15 75.732142 60.607323 8.064986
16 75.732142 64.632608 9.948359
17 75.732142 68.865933 14.186285
18 75.732142 66.230719 16.304402
19 75.732142 70.379007 12.472575
20 75.752976 69.676822 13.521565
21 75.752976 67.154265 15.864124
22 75.752976 63.728446 15.944169
23 75.752976 67.055383 11.16723
24 75.752976 72.491231 11.23546
25 75.752976 72.677343 11.974766
26 75.752976 73.042135 12.251897
27 75.752976 71.494547 13.719496
28 75.752976 69.053846 17.598535
29 75.752976 74.841398 7.43539
30 75.752976 72.392821 11.902431
