gen best mean std
0 56.773463 -1.131338 11.116801
1 57.470571 30.723002 21.697189
2 74.87095 52.963698 11.474901
3 74.87095 56.967369 2.849669
4 74.87095 56.598643 3.989718
5 74.87095 56.954458 1.800675
6 74.87095 56.954438 1.800677
7 74.87095 56.954438 1.800677
8 74.87095 56.954438 1.800677
9 74.87095 54.907074 9.297231
10 74.87095 57.13628 2.533539
11 74.87095 56.868861 4.470362
12 74.87095 56.955492 3.822877
13 74.87095 57.135413 2.533648
14 74.87095 57.04664 2.012631
15 83.738508 55.646629 8.77687
16 83.738508 56.868367 6.419604
17 83.738508 57.143269 8.233684
18 83.742332 59.747973 7.540813
19 83.742332 61.994475 10.032197
20 83.742332 68.099744 13.311007
21 83.742332 79.515786 8.667021
22 84.142332 82.486583 4.413124
23 84.142332 82.306937 5.044528
24 84.142332 80.785169 11.6249
25 86.99141 83.328977 2.366813
26 86.99141 82.87153 4.444948
27 86.99141 80.620816 7.822352
28 86.99141 80.288303 6.131888
29 86.99141 81.786847 5.208844
30 86.99141 84.311349 5.565767
