gen best mean std
0 91.772379 7.890877 29.351899
1 92.076036 71.546894 25.405525
2 92.727 88.102327 9.993045
3 93.127 91.737177 0.319302
4 93.127 91.793764 0.143051
5 93.127 91.80931 0.184731
6 93.127 91.853495 0.279315
7 93.127 92.134202 0.512131
8 93.212614 92.87671 0.35492
9 93.212614 93.161772 0.078196
10 93.212614 93.212614 0.0
11 93.212614 93.212614 0.0
12 93.212614 93.212614 0.0
13 93.212614 93.212614 0.0
14 93.212614 93.212614 0.0
15 93.212614 93.212614 0.0
16 93.212614 93.212614 0.0
17 93.212614 93.212614 0.0
18 93.212614 93.212614 0.0
19 93.212614 93.212614 0.0
20 93.212614 93.212614 0.0
21 93.212614 93.212614 0.0
22 93.212614 93.212614 0.0
23 93.212614 93.212614 0.0
24 93.212614 93.212614 0.0
25 93.212614 93.212614 0.0
26 93.212614 93.212614 0.0
27 93.212614 93.212614 0.0
28 93.212614 93.212614 0.0
29 93.212614 93.212614 0.0
30 93.212614 93.212614 0.0
