gen best mean std
0 91.772379 9.687514 29.706255gen best mean std
0 92.500134 12.651635 32.863222
1 92.572379 78.138437 23.415242
2 92.572379 86.839231 14.558935
3 92.572379 91.50411 1.190558
4 93.801503 91.806216 0.222496
5 93.801503 91.815309 0.267608
6 93.801503 91.850636 0.368644
7 93.801503 91.753855 0.748368
8 93.801503 91.730844 0.770707
9 93.801503 90.712132 7.092396
10 93.801503 91.903806 0.565495
11 93.801503 91.66042 1.457719
12 93.801503 91.981918 1.805585
13 93.801503 92.580713 1.938207
14 93.801503 93.271355 1.346226
15 93.801503 92.612976 6.903183
16 93.801503 92.915317 1.856152
17 93.801503 93.520869 0.776296
18 93.801503 93.417268 0.983041
19 93.801503 93.328205 1.288455
20 93.801503 93.482776 0.877269
21 93.801503 91.984272 9.728782
22 93.801503 93.562137 0.688074
23 93.801503 93.54965 0.814136
24 93.801503 93.535195 0.821066
25 93.801503 93.526655 0.94151
26 93.801503 93.202013 1.79902
27 93.801503 92.52673 6.660895
28 93.801503 93.514499 0.723741
29 93.801503 93.492323 1.061
30 93.801503 93.403409 1.081952
