gen best mean std
0 92.172379 5.620547 23.822088
1 92.727 56.260026 32.745794
2 93.527 85.460485 13.949716
3 93.527 90.593843 3.991226
4 93.527 91.935109 0.454995
5 93.727 92.02195 0.522291
6 93.727 92.703209 0.640403
7 93.795993 93.5319 0.246739
8 93.795993 93.744939 0.030263
9 93.795993 93.795993 0.0
10 93.795993 93.795993 0.0
11 93.795993 93.795993 0.0
12 93.795993 93.795993 0.0
13 93.795993 93.795993 0.0
14 93.795993 93.795993 0.0
15 93.795993 93.795993 0.0
16 93.795993 93.795993 0.0
17 93.795993 93.795993 0.0
18 93.795993 93.795993 0.0
19 93.795993 93.795993 0.0
20 93.795993 93.795993 0.0
21 93.795993 93.795993 0.0
22 93.795993 93.795993 0.0
23 93.795993 93.795993 0.0
24 93.795993 93.795993 0.0
25 93.795993 93.795993 0.0
26 93.795993 93.795993 0.0
27 93.795993 93.795993 0.0
28 93.795993 93.795993 0.0
29 93.795993 93.795993 0.0
30 93.795993 93.795993 0.0
