gen best mean std
0 91.772379 7.222001 28.727285
1 93.527 64.460997 30.744983
2 93.527 86.879084 15.034532
3 93.527 91.647315 0.887309
4 93.527 91.388088 1.486022
5 93.727 91.844114 0.333212
6 93.727 91.8168 0.514868
7 93.727 91.624054 1.27486
8 93.727 92.129049 0.685661
9 93.727 88.334428 15.789436
10 93.795993 93.24929 0.742161
11 93.795993 93.414363 0.76932
12 93.795993 93.00037 1.978573
13 93.795993 93.118975 1.824425
14 93.795993 93.504272 0.644157
15 93.795993 93.541294 0.788654
16 93.795993 90.738586 16.026312
17 93.795993 92.859765 2.624018
18 93.795993 93.611414 0.58738
19 93.795993 93.507695 0.69664
20 93.795993 92.669861 2.534362
21 93.795993 93.087041 1.97466
22 93.795993 91.276261 13.940423
23 93.795993 93.002105 2.139481
24 93.795993 93.617414 0.568829
25 93.795993 93.328737 1.498931
26 93.795993 93.514692 0.825705
27 93.795993 93.184443 1.899051
28 93.795993 92.359271 8.95185
29 93.795993 93.592724 0.61049
30 93.795993 93.228989 1.737144
