gen best mean std
0 57.16227 -1.35058 9.899124
1 57.225448 20.711027 15.650377
2 75.752976 38.698669 18.582508
3 75.752976 54.591562 9.781566
4 75.752976 56.915463 4.259334
5 75.752976 57.54437 3.485767
6 75.752976 58.526936 4.247664
7 75.752976 57.752976 5.247857
8 75.752976 60.812976 6.263897
9 94.023266 63.518382 6.45529
10 94.023266 64.429193 9.108247
11 94.023266 67.238114 12.177092
12 94.023266 79.395418 15.706251
13 94.023266 91.465426 6.339554
14 94.023266 94.023266 0.0
15 94.023266 94.023266 0.0
16 94.023266 94.023266 0.0
17 94.023266 94.023266 0.0
18 94.023266 94.023266 0.0
19 94.023266 94.023266 0.0
20 94.023266 94.023266 0.0
21 94.023266 94.023266 0.0
22 94.023266 94.023266 0.0
23 94.023266 94.023266 0.0
24 94.023266 94.023266 0.0
25 94.023266 94.023266 0.0
26 94.023266 94.023266 0.0
27 94.023266 94.023266 0.0
28 94.023266 94.023266 0.0
29 94.023266 94.023266 0.0
30 94.023266 94.023266 0.0
