gen best mean std
0 57.194865 -1.478965 9.295629
1 57.194865 15.135982 14.932332
2 57.732142 34.015937 19.615817
3 57.732142 56.48983 4.963978
4 57.752976 57.202991 0.138536
5 57.752976 57.218875 0.148428
6 60.292245 57.47918 0.456877
7 60.292245 57.726517 0.274748
8 60.292245 57.783344 0.358414
9 60.292245 57.885748 0.607991
10 66.165189 57.4498 4.650198
11 66.168118 58.197557 1.719659
12 66.168118 59.457921 3.297251
13 66.168118 65.175375 2.697098
14 66.168118 66.168118 0.0
15 66.168118 66.168118 0.0
16 66.168118 66.168118 0.0
17 66.168118 66.168118 0.0
18 66.168118 65.993636 1.221573
19 66.168118 66.168118 0.0
20 66.168118 66.168118 0.0
21 66.168118 66.168118 0.0
22 66.168118 66.168118 0.0
23 66.168118 66.168118 0.0
24 74.64563 64.47221 8.994663
25 74.64563 66.252893 0.843502
26 74.64563 66.25301 0.84349
27 74.64563 66.338813 1.186689
28 74.64563 66.425292 1.445654
29 74.64563 66.84902 2.299095
30 74.64563 67.103726 4.46649
