gen best mean std
0 65.773463 2.59752 17.030947
1 84.542332 26.514176 21.181479
2 84.993424 51.012618 15.520711
3 84.993424 57.879057 5.671707
4 84.993424 56.962335 5.460035
5 85.213791 57.891592 5.628729
6 87.813791 61.249828 9.510501
7 87.813791 63.853046 11.931107
8 87.813791 72.642926 11.735898
9 87.813791 77.285917 11.374192
10 87.813791 85.431993 6.217336
11 87.813791 87.813791 0.0
12 87.813791 87.813791 0.0
13 87.813791 87.813791 0.0
14 87.813791 87.813791 0.0
15 87.813791 87.813791 0.0
16 87.813791 87.813791 0.0
17 87.813791 87.813791 0.0
18 87.813791 87.813791 0.0
19 87.813791 87.813791 0.0
20 87.813791 87.813791 0.0
21 87.813791 87.813791 0.0
22 87.813791 87.813791 0.0
23 87.813791 87.813791 0.0
24 87.813791 87.813791 0.0
25 87.813791 87.813791 0.0
26 87.813791 87.813791 0.0
27 87.813791 87.813791 0.0
28 87.813791 87.813791 0.0
29 87.813791 87.813791 0.0
30 87.813791 87.813791 0.0
