gen best mean std
0 89.396054 4.842419 25.609321
1 92.727 68.200745 28.108149
2 92.727 82.485985 17.225648
3 92.770654 88.116879 5.106625
4 92.770654 88.026182 6.906011
5 92.770654 86.719212 8.581547
6 93.389365 91.255208 2.548881
7 93.389365 91.474349 2.373944
8 93.389365 92.483321 0.4772
9 93.389365 92.574853 0.093988
10 93.389365 92.61129 0.158856
11 93.389365 92.640441 0.223823
12 93.389365 92.83657 0.380383
13 93.389365 93.389365 0.0
14 93.389365 93.389365 0.0
15 93.389365 93.389365 0.0
16 93.389365 93.389365 0.0
17 93.389365 93.389365 0.0
18 93.389365 93.389365 0.0
19 93.389365 93.389365 0.0
20 93.389365 93.389365 0.0
21 93.389365 93.389365 0.0
22 93.389365 93.389365 0.0
23 93.389365 93.389365 0.0
24 93.389365 93.389365 0.0
25 93.389365 93.389365 0.0
26 93.389365 93.389365 0.0
27 93.389365 93.389365 0.0
28 93.389365 93.389365 0.0
29 93.389365 93.389365 0.0
30 93.389365 93.389365 0.0
