gen best mean std
0 92.172379 15.655316 33.150022
1 92.512404 81.373047 18.543606
2 92.576119 83.684499 15.173388
3 92.379644 85.147124 16.317491
4 91.772379 89.221881 11.004315
5 91.93704 91.527355 1.209844
6 91.772379 91.611059 0.936554
7 91.772379 91.526438 1.204861
8 91.772379 91.343389 2.712302
9 91.772379 91.710894 0.611771
10 92.24704 91.71564 0.614067
11 91.772379 91.515684 2.554086
12 91.772379 91.657352 0.807201
13 91.772379 91.710894 0.611771
14 92.576119 89.507339 11.279893
15 91.772379 91.772379 0.0
16 91.772379 91.730029 0.421375
17 91.772379 91.618886 0.885197
18 91.84704 91.643186 0.911044
19 92.13704 91.71454 0.613212
20 91.772379 91.710894 0.611771
21 91.772379 91.66244 0.775071
22 91.772379 91.772379 0.0
23 91.772379 91.648505 0.860712
24 91.772379 91.772379 0.0
25 91.772379 87.806397 16.246491
26 91.772379 91.755356 0.169374
27 91.772379 91.767475 0.048791
28 91.772379 91.772379 0.0
29 91.772379 91.301972 3.550494
30 91.772379 91.772379 0.0
