gen best mean std
0 57.260207 -1.756937 10.550346
1 66.16227 17.593301 21.484543
2 66.225448 42.618759 20.356331
3 66.225448 58.069416 7.546373
4 66.225448 60.333136 4.282884
5 66.225448 64.543553 3.458297
6 66.225448 66.164837 0.010758
7 66.225448 66.166171 0.012315
8 66.225448 65.99271 1.259263
9 66.225448 64.851424 7.704961
10 66.225448 65.925457 1.535402
11 66.225448 65.572343 5.380726
12 66.225448 65.028636 7.600188
13 66.225448 65.757867 3.216249
14 66.225448 66.222696 0.008752
15 66.225448 63.710829 9.047456
16 66.225448 64.877627 7.215732
17 66.225448 65.413022 5.984696
18 66.225448 65.778543 4.424748
19 66.225448 65.773694 4.479132
20 88.50869 66.447363 2.217253
21 88.50869 66.447017 2.217299
22 88.50869 65.288572 7.983499
23 88.50869 65.906849 5.837769
24 88.50869 66.356873 2.400771
25 88.50869 65.997007 5.019316
26 88.50869 66.447037 2.217292
27 88.50869 66.467556 3.254955
28 88.50869 63.761626 10.732356
29 88.50869 66.125551 5.492035
30 88.50869 66.266732 2.568035
