gen best mean std
0 65.77941 -1.686251 10.404923
1 65.77941 14.160668 14.615444
2 65.77941 27.013206 15.855717
3 87.59141 49.616522 15.127903
4 87.59141 57.447372 8.191712
5 87.59141 59.33584 6.020975
6 87.59141 63.032759 8.056592
7 87.59141 70.003538 7.138022
8 87.59141 69.58514 13.648602
9 87.59141 72.543385 6.304646
10 87.59141 73.093125 6.580735
11 87.59141 73.672408 5.291624
12 87.59141 71.775033 8.709533
13 87.59141 70.417375 10.441866
14 87.59141 71.016413 7.669727
15 87.59141 71.473338 9.575068
16 87.59141 71.559927 7.805093
17 87.59141 72.557922 6.149391
18 87.59141 71.559653 9.575663
19 87.59141 72.653764 7.750953
20 87.59141 72.120474 9.294446
21 87.59141 74.048579 6.471299
22 87.59141 70.524556 10.273299
23 87.59141 72.157124 8.903651
24 87.59141 71.732685 7.617184
25 87.59141 70.735469 8.344575
26 87.59141 69.143858 13.15209
27 87.59141 72.486866 9.009364
28 87.59141 73.281493 5.440028
29 87.59141 72.653824 7.677842
30 87.59141 71.930237 8.550026
