gen best mean std
0 83.866602 3.586228 16.299314
1 84.993424 28.700798 20.7248
2 88.993424 47.899455 20.233918
3 88.993424 56.666125 15.605023
4 88.993424 57.282018 19.175239
5 89.993424 60.049037 23.192086
6 89.993424 69.155367 21.742699
7 90.013791 79.71057 15.345223
8 90.013791 85.163782 13.484834
9 90.213791 84.998854 13.633825
10 90.213791 85.170622 15.139126
11 90.213791 86.051104 13.698839
12 90.213791 89.002243 8.017018
13 90.213791 86.566909 11.676032
14 90.213791 85.285487 15.443979
15 90.213791 85.251513 14.146255
16 90.213791 84.119646 18.284849
17 90.213791 85.881549 12.283869
18 90.213791 87.804797 11.240923
19 90.213791 85.813161 14.823845
20 90.213791 83.190947 18.787959
21 90.213791 83.756311 17.245952
22 90.213791 86.21943 13.151896
23 90.213791 83.755784 17.47296
24 90.213791 89.15838 8.531364
25 90.213791 86.915224 11.112812
26 90.213791 82.958109 18.703096
27 90.213791 85.098924 13.685941
28 90.213791 84.845285 16.17141
29 90.213791 85.866442 14.412435
30 90.213791 87.130433 14.116201
