gen best mean std
0 57.16227 -2.30489 8.328356
1 66.222348 19.570549 19.285605
2 66.222348 46.382204 18.304294
3 75.171054 58.423123 3.364421
4 75.171054 59.973412 5.556767
5 75.171054 63.431092 7.469458
6 75.171054 68.597169 6.140459
7 75.171054 69.766514 7.240535
8 75.171054 69.987698 5.696054
9 75.171054 70.698682 9.491295
10 75.171054 73.024034 4.576754
11 75.171054 73.21629 5.85477
12 75.171054 71.07718 5.841841
13 75.171054 72.313755 4.893488
14 75.171054 72.226062 5.937514
15 75.171054 71.856593 11.341888
16 75.171054 73.669127 3.727008
17 75.171054 73.307842 4.198894
18 75.171054 73.299548 4.417495
19 75.171054 72.578511 6.49308
20 75.171054 73.218606 4.248212
21 75.171054 71.507791 11.081702
22 75.171054 71.509205 6.097864
23 75.171054 71.507953 6.354177
24 75.171054 72.502418 4.625062
25 75.171054 72.853481 6.615524
26 75.171054 72.505614 5.104985
27 75.171054 72.233966 9.721546
28 75.171054 73.847595 3.341357
29 75.171054 72.23548 5.059931
30 75.171054 74.383466 2.414561
