gen best mean std
0 57.306268 -3.002342 7.824557
1 57.732142 11.709568 13.252075
2 66.21004 23.788192 11.704786
3 66.21004 31.314173 16.206514
4 66.21004 47.77851 15.957475
5 66.21004 56.235982 7.289537
6 66.21004 56.782911 5.75199
7 66.21004 57.395542 3.886636
8 66.21004 56.318696 8.273646
9 66.21004 57.77075 3.187133
10 66.21004 56.762214 5.311584
11 66.330119 57.601035 2.954927
12 66.330119 56.151072 7.195641
13 66.330119 56.907349 5.40259
14 66.330119 56.506982 6.450722
15 66.752976 56.972487 5.048574
16 66.752976 58.065136 1.733063
17 66.752976 56.981541 6.721324
18 66.752976 57.391972 4.766694
19 94.023266 57.686176 7.861993
20 94.023266 58.136183 6.158516
21 94.023266 55.928193 13.057187
22 94.023266 62.683837 13.841245
23 94.023266 67.89677 14.910506
24 94.023266 75.619034 14.420769
25 94.023266 74.065019 14.815139
26 94.023266 73.40902 13.097065
27 94.023266 73.631143 13.734013
28 94.023266 76.084719 15.25299
29 94.023266 82.909002 14.175276
30 94.023266 89.660996 14.307019
