gen best mean std
0 21.52421 -3.073596 6.862612
1 34.546576 2.584609 10.38517
2 67.534221 6.824759 14.24116
3 67.534221 10.138559 14.752244
4 67.534221 9.409622 14.580468
5 67.534221 8.750715 15.471789
6 67.534221 10.247388 17.248602
7 67.534221 10.343003 17.934489
8 67.668772 21.029888 24.087751
9 67.888678 41.494322 20.272388
10 67.888678 46.620312 17.947187
11 73.130963 57.345474 15.489151
12 73.243325 61.522644 13.685003
13 73.294586 62.223632 12.013948
14 73.294586 59.980162 12.862656
15 73.294586 60.16253 13.69498
