gen best mean std
0 47.068463 -1.401182 10.637538
1 60.474463 16.83727 20.084594
2 60.525027 28.311527 23.72881
3 60.525027 36.340049 21.405368
4 63.363504 46.261238 12.975102
5 63.363504 48.097201 11.932679
6 63.363504 46.591692 14.502613
7 63.363504 49.441724 9.217491
8 63.363504 51.360557 5.424493
9 63.363504 52.755572 2.414565
10 63.363504 52.106311 2.391903
11 63.363504 51.410166 6.070217
12 63.363504 51.870892 3.2846
13 63.363504 52.104585 2.954853
14 63.363504 52.594605 2.15451
15 63.363504 52.665345 1.842164
