gen best mean std
0 25.078797 -2.239739 7.134767
1 63.389192 4.281999 19.006119
2 72.797782 21.993426 27.336231
3 72.797782 33.253421 24.232174
4 72.797782 37.381446 20.824113
5 72.797782 42.99385 19.615776
6 72.797782 48.418921 14.367386
7 72.797782 48.62966 12.293739
8 72.797782 51.362814 6.762747
9 72.797782 51.856043 8.125051
10 72.797782 48.302344 12.684283
11 72.797782 51.582021 6.868945
12 72.797782 50.730128 9.004956
13 72.797782 52.46353 3.608098
14 72.797782 50.666868 10.434282
15 72.797782 51.116994 7.248785
