gen best mean std
0 28.853015 -0.699533 9.811516
1 38.012467 11.886892 13.018232
2 46.509768 17.585357 11.206402
3 51.952892 19.15723 12.436401
4 51.952892 19.587482 8.805939
5 51.952892 21.887313 8.752559
6 51.952892 22.122453 7.348557
7 51.952892 23.167608 9.062064
8 51.952892 23.049242 8.688779
9 51.952892 24.276332 6.440398
10 51.952892 24.717098 7.595968
11 51.952892 25.770426 10.000635
12 51.953819 24.508835 9.732437
13 51.953819 26.296117 6.459931
14 51.953819 29.84853 12.263793
15 51.953819 28.594164 10.979784
