gen best mean std
0 17.592347 -5.14412 4.361053
1 37.876125 0.13478 9.428543
2 37.876125 3.004094 11.476814
3 37.876125 5.461912 12.994525
4 37.876125 8.290362 12.945778
5 41.380423 11.741112 13.721604
6 43.09731 22.50611 11.096539
7 47.241388 24.092179 10.428896
8 47.241388 25.996714 9.842312
9 47.340536 21.753145 11.572512
10 47.340536 21.711937 10.460117
11 47.340536 21.099738 11.633952
12 47.340536 21.730815 11.081924
13 47.340536 22.969237 10.443659
14 70.292616 22.895879 12.191978
15 70.292616 27.749158 11.853238
