gen best mean std
0 12.899058 -4.286472 4.301516
1 56.88533 10.937493 20.826622
2 60.249628 28.006008 23.869021
3 60.249628 33.178016 22.186463
4 60.27758 41.619205 19.271141
5 60.563755 39.696801 21.91133
6 60.563755 44.433386 16.723468
7 60.563755 51.460021 7.062434
8 60.563755 49.150363 11.815877
9 61.910388 50.500643 10.390455
10 61.910388 51.794504 7.074649
11 61.910388 50.203631 10.16975
12 61.910388 51.155444 6.949696
13 61.910388 49.720448 10.964618
14 61.910388 47.788431 13.565228
15 72.738273 51.275046 8.432547
