gen best mean std
0 23.847644 -2.757839 7.139551
1 28.884861 7.494141 11.575371
2 30.990507 13.060791 10.560271
3 52.00158 18.2041 9.494699
4 52.00158 18.456257 10.876324
5 52.00158 22.443462 9.394897
6 52.00158 22.740124 9.606554
7 52.00158 23.229128 8.479706
8 53.837659 24.152636 9.231678
9 53.837659 25.864391 8.83378
10 58.775453 24.052283 12.414793
11 58.775453 26.650559 9.923128
12 58.775453 26.0432 8.698684
13 58.775453 26.396499 7.961573
14 58.775453 28.263648 8.546461
15 58.775453 30.572631 12.748276
