gen best mean std
0 11.854372 -3.170479 5.382281
1 36.905447 3.518573 10.438446
2 36.905447 15.163924 11.51212
3 36.905447 15.695692 11.269755
4 36.905447 18.485305 11.171286
5 38.003725 21.492908 8.534263
6 38.042595 19.558565 9.459794
7 38.042595 19.472923 8.642796
8 38.042595 20.852663 8.599802
9 38.042595 22.343804 6.406303
10 57.732509 22.522827 10.427479
11 57.732509 22.217707 9.718651
12 57.732509 25.885029 10.781496
13 57.732509 23.25515 8.58577
14 60.808755 26.782004 10.956324
15 60.808755 28.274434 12.806485
