gen best mean std
0 7.661487 -5.735538 3.019005
1 16.906387 -1.768356 6.537348
2 29.398432 0.618104 8.422687
3 31.464387 5.998157 12.031155
4 62.45337 8.644965 15.271798
5 62.45337 11.655741 18.796855
6 62.610416 18.370814 19.43789
7 62.610416 15.365176 16.5395
8 62.74278 27.484643 13.819053
9 62.74278 25.340845 16.541129
10 62.74278 27.416991 15.970042
11 67.04957 27.763942 16.914056
12 67.04957 29.069492 17.23236
13 67.04957 30.848162 13.640966
14 67.04957 32.108565 14.96609
15 67.04957 33.311084 14.807014
