gen best mean std
0 16.158771 -3.748824 5.096465
1 27.40072 3.727608 9.458749
2 35.670776 6.380308 11.108271
3 36.243728 7.57327 9.765328
4 36.243728 6.311655 9.191807
5 40.124067 8.988937 9.870598
6 46.281202 10.687366 12.104968
7 85.995089 16.401969 16.077598
8 86.115493 26.6705 19.722861
9 86.115493 34.824634 17.446754
10 86.115493 35.504061 15.05023
11 87.283769 43.995313 18.535
12 87.283769 39.199682 18.084136
13 87.283769 43.242591 18.937131
14 87.283769 51.011679 18.947798
15 87.283769 53.375504 20.810555
