gen best mean std
0 44.015123 -4.501493 8.832639
1 46.252474 3.196103 14.887944
2 60.007529 18.934204 21.936014
3 76.695645 40.798107 11.231401
4 76.695645 44.722926 9.570193
5 76.695645 40.963012 13.084255
6 76.695645 39.822424 12.620949
7 76.695645 44.05577 9.845606
8 76.695645 43.950108 13.472288
9 76.695645 44.9349 10.172736
10 83.297836 42.839049 16.717196
11 83.297836 41.929555 16.485903
12 83.297836 41.308126 16.461876
13 83.297836 42.374901 15.95511
14 83.297836 47.471636 15.026432
15 83.334847 44.416471 15.645365
