gen best mean std
0 28.938447 -2.100555 7.296556
1 41.063857 10.174872 11.461068
2 41.063857 16.429574 10.424847
3 44.80477 16.36004 12.221928
4 44.80477 16.692521 9.544521
5 44.80477 19.224802 9.39872
6 53.708047 22.436459 11.618581
7 53.708047 24.200472 9.130197
8 57.632769 23.594191 9.916415
9 57.632769 23.051845 8.025784
10 57.724461 25.898071 10.68007
11 57.724461 24.131391 8.440458
12 57.724461 23.307836 9.002053
13 57.724461 26.619171 7.727904
14 57.724461 24.535587 12.16965
15 57.724461 27.190801 9.830179
