gen best mean std
0 7.349404 -5.090411 3.641571
1 28.266159 -3.534278 6.542567
2 28.266159 2.219311 8.642613
3 28.266159 5.014706 10.293031
4 42.556501 9.847805 11.47854
5 50.943711 10.816676 13.949125
6 50.943711 17.558087 11.774245
7 51.050203 22.196609 15.519511
8 51.050203 24.770114 12.986343
9 51.050203 24.410734 11.97665
10 67.114734 32.572426 12.51042
11 67.114734 29.07047 12.650337
12 67.114734 25.711404 14.503507
13 67.114734 29.171114 13.365005
14 67.114734 28.473423 13.30008
15 67.114734 31.513193 14.37092
