gen best mean std
0 62.905433 2.687967 17.837244
1 62.905433 23.679084 28.316422
2 70.309357 48.339849 23.301806
3 70.004291 49.142037 24.264816
4 70.311415 55.906413 15.940546
5 73.698783 60.937907 11.165395
6 70.056502 56.370491 15.716845
7 70.26316 53.669612 21.872302
8 70.083567 54.84693 19.169487
9 85.575218 50.384824 25.085434
10 85.575218 60.084128 16.596478
