gen best mean std
0 28.594919 -2.243116 7.593585
1 70.846725 24.808848 28.27238
2 70.756953 46.861318 26.969743
3 85.49065 51.159044 25.582579
4 85.382074 52.613033 26.961607
5 86.418531 59.570687 23.591005
6 85.495536 62.185636 21.052686
7 84.660616 54.758633 24.115195
8 84.660616 64.502961 13.018945
9 77.285222 60.248371 18.172369
10 84.985172 61.177083 19.750137
