gen best mean std
0 70.100319 6.184462 24.615222
1 77.438122 54.014834 25.184112
2 85.772093 46.734112 28.492058
3 70.626508 51.82797 23.72178
4 78.060795 56.866629 20.523824
5 85.342288 55.586876 23.049691
6 70.202036 59.010228 16.683848
7 77.379315 60.478553 12.79532
8 70.113109 62.250311 10.641893
9 70.225289 61.139894 13.794127
10 77.140641 66.645517 5.281358
