gen best mean std
0 7.369826 -5.131261 3.49845
1 14.635369 -3.338641 5.347612
2 16.992948 1.4868 7.251641
3 34.34815 4.564421 9.076856
4 40.807413 9.611531 8.724689
5 40.81671 8.227289 9.662948
6 40.822815 9.176694 10.500456
7 40.822815 8.563576 9.608998
8 40.822815 9.133809 8.755344
9 40.822815 8.00412 7.270613
10 44.523899 9.245301 9.441748
11 44.523899 11.307155 9.15003
12 47.432055 14.774529 11.908343
13 57.235829 16.069951 13.228079
14 57.235829 14.301593 11.841142
15 57.264447 22.021841 15.908578
