gen best mean std
0 38.035727 -2.82933 9.279787
1 38.044456 11.514742 12.086478
2 38.044456 17.586809 8.52749
3 41.633101 21.168206 8.257273
4 53.843426 22.032934 7.913771
5 53.843426 24.527964 8.615153
6 53.843426 23.416172 7.22727
7 60.629843 24.377371 11.057044
8 60.629843 24.991416 8.501197
9 60.725896 26.62175 11.474225
10 60.742351 29.244421 13.565212
11 60.742351 30.061811 11.721265
12 60.742351 30.034743 15.884232
13 60.742351 32.044072 13.321883
14 60.742351 34.776283 12.598386
15 60.742351 34.622956 17.687084
