gen best mean std
0 25.595866 -3.756336 6.862178
1 30.137811 3.715197 10.548418
2 30.137811 12.776055 9.210183
3 30.137811 15.305908 7.456416
4 31.151652 14.472547 7.555556
5 31.151652 16.232537 6.556629
6 36.103686 16.020452 7.545138
7 36.103686 14.594506 7.915479
8 36.103686 17.241831 6.353243
9 36.103686 16.982588 7.460812
10 36.103686 19.612369 6.774368
11 39.102469 20.676394 7.745916
12 39.102469 21.822868 5.577252
13 39.841517 24.057372 7.237544
14 41.157464 24.066275 5.471482
15 41.157464 23.926762 5.243387
