gen best mean std
0 67.409147 -2.781226 10.98772
1 67.409147 12.608799 20.147019
2 67.409147 23.319433 16.509637
3 67.409147 20.751465 12.313849
4 67.409147 25.044639 11.765535
5 67.409147 25.076322 12.635268
6 67.409147 26.87217 12.504146
7 67.409147 27.959967 9.798114
8 67.409147 28.083536 10.952188
9 67.409147 25.4838 8.461168
10 67.409147 26.709544 7.543217
11 67.409147 28.562786 9.331001
12 67.409147 30.58675 10.406281
13 67.409147 35.31811 11.265641
14 67.409147 32.174803 11.572778
15 67.409147 36.41017 12.56799
