gen best mean std
0 7.523482 -5.046699 4.010626
1 12.646461 -3.026111 5.502332
2 22.692701 2.319264 8.338396
3 31.217732 4.766974 8.859032
4 31.217732 6.161383 5.465827
5 31.217732 6.235511 8.210903
6 33.160585 6.029926 7.846856
7 33.160585 5.82779 7.012269
8 33.160585 5.9275 7.085981
9 33.160585 7.939536 7.447823
10 33.160585 9.901073 8.614707
11 33.160585 10.547177 8.476676
12 37.38001 8.919971 10.815895
13 51.116286 13.286438 13.288695
14 51.116286 17.353877 12.548556
15 51.116286 14.073683 12.688775
