gen best mean std
0 7.560593 -4.288434 4.531739
1 21.521407 -0.296671 7.857423
2 21.521407 3.795063 6.805499
3 21.521407 6.140478 5.238817
4 29.691034 4.992978 7.587294
5 29.691034 6.43011 6.053552
6 29.691034 6.179764 7.340049
7 31.366226 6.986024 7.457223
8 31.366226 7.743122 5.944412
9 31.366226 7.9973 4.84777
10 31.366226 8.72035 5.099213
11 31.366226 7.417292 6.821358
12 31.662793 10.4944 7.125695
13 34.875691 11.973465 7.380636
14 37.724681 12.668149 9.136336
15 41.232404 13.032536 10.017968
