gen best mean std
0 14.573539 -3.996022 5.545166
1 12.779064 5.745123 4.386758
2 22.022622 9.775441 3.593537
3 22.595792 11.348242 5.182679
4 22.595792 13.427969 6.416871
5 22.944792 18.127764 5.216891
6 27.481935 22.150773 1.025084
7 27.565174 25.509217 2.357497
8 27.737641 27.541133 0.041434
9 27.737641 27.543177 0.053025
10 27.673513 27.526128 0.057558
