gen best mean std
0 11.93823 -3.909287 4.527803
1 56.761523 9.920852 16.418634
2 60.535591 29.333496 22.216341
3 62.587595 36.959812 21.536805
4 62.587595 42.054044 16.915278
5 63.060442 40.938783 17.552736
6 63.060442 50.539469 9.848161
7 63.216211 49.542324 10.516031
8 63.216211 50.450669 6.263111
9 63.216211 50.940955 8.327882
10 63.216211 52.89771 2.227602
