gen best mean std
0 15.383983 -2.851867 6.328666
1 17.349028 2.3604 7.460491
2 52.240737 11.226963 13.639931
3 52.321931 14.32295 18.044584
4 56.996669 33.01864 21.86976
5 56.996669 45.382827 13.673072
6 56.996669 49.580552 8.943626
7 60.504998 46.538755 13.279304
8 60.504998 50.367614 8.477299
9 60.504998 52.751854 2.917559
10 60.532564 53.009368 2.865414
